Time,Buffer,Buffer,Buffer,M24 80,M24 40,M24 20,M24 10,M24 5
213.5,2682,2474,2384,64781,43964,22522,12016,4616
214,2644,2432,2413,64594,43906,22848,12084,4682
214.5,2654,2400,2387,64371,43862,22579,11902,4654
215,2677,2418,2393,64825,43796,22523,12015,4648
215.5,2699,2442,2376,65091,43641,22906,12037,4639
216,2710,2449,2402,64274,43711,22718,11979,4638
216.5,2692,2388,2441,64758,43746,22432,11960,4645
217,2691,2430,2341,64968,43551,22474,11948,4627
217.5,2682,2457,2355,64194,43516,22632,12174,4620
218,2718,2421,2412,64849,43479,22766,12056,4586
218.5,2683,2486,2408,64822,43724,22900,12036,4647
219,2661,2481,2438,64613,43638,22619,11936,4655
219.5,2676,2464,2379,64436,43638,22501,11935,4634
220,2667,2478,2403,64590,43354,22533,12010,4611
220.5,2713,2383,2418,64255,43540,22581,11948,4626
221,2665,2350,2326,63981,43608,22568,11946,4526
221.5,2698,2422,2478,64047,43458,22608,11964,4712
222,2701,2368,2408,64152,43601,22428,12001,4659
222.5,2676,2418,2349,63892,43292,22592,12039,4664
223,2734,2509,2333,64417,43285,22463,11984,4614
223.5,2682,2421,2448,63994,43455,22600,12055,4625
224,2725,2375,2378,63842,43044,22489,11956,4619
224.5,2667,2405,2406,64304,43684,22662,12042,4604
225,2665,2446,2354,63806,43417,22596,11980,4625
225.5,2674,2392,2391,64306,42955,22500,12072,4602
226,2673,2417,2394,64250,43290,22726,11856,4616
226.5,2720,2484,2358,63995,43123,22460,11884,4704
227,2707,2411,2377,63498,42843,22512,11838,4681
227.5,2710,2400,2371,63130,43500,22626,11914,4718
228,2656,2494,2357,63824,43211,22542,11975,4592
228.5,2652,2412,2395,63708,42859,22507,11853,4645
229,2683,2394,2425,63294,42861,22426,11993,4587
229.5,2717,2440,2370,63479,42742,22405,11894,4683
230,2717,2430,2399,63194,43209,22378,11923,4588
230.5,2687,2493,2427,63510,42831,22308,11992,4550
231,2666,2416,2407,63429,43275,22252,11748,4688
231.5,2624,2445,2429,63138,42756,22200,11926,4630
232,2696,2414,2324,63483,42768,22379,11737,4657
232.5,2762,2442,2425,63350,43275,22396,11883,4556
233,2715,2372,2311,63438,42514,22253,11958,4608
233.5,2664,2382,2349,63030,42796,22482,11774,4582
234,2709,2480,2432,63147,42810,22473,11798,4656
234.5,2658,2379,2366,62741,42630,22447,11948,4644
235,2683,2459,2349,62928,42528,22163,11897,4611
235.5,2660,2492,2401,63175,42618,22126,11991,4578
236,2680,2449,2383,62798,42671,22506,11962,4594
236.5,2656,2440,2358,63172,42596,22101,11917,4547
237,2680,2408,2407,62974,42650,22267,11839,4640
237.5,2643,2390,2382,62435,42717,22155,11901,4684
238,2681,2429,2342,62702,42647,22195,11804,4653
238.5,2680,2493,2389,62232,42812,22304,11799,4590
239,2673,2393,2357,62959,42691,22324,11776,4586
239.5,2671,2413,2363,62836,42675,22112,11873,4580
240,2708,2383,2432,62378,42505,22390,11734,4658
240.5,2627,2378,2348,62728,42451,22332,11889,4602
241,2671,2442,2401,62564,42463,22125,11752,4584
241.5,2687,2461,2370,62858,42509,22260,11646,4569
242,2724,2414,2387,62896,43004,22393,11804,4645
242.5,2665,2413,2358,62414,42649,22372,11776,4653
243,2618,2446,2393,62409,42416,22318,11687,4620
243.5,2677,2427,2323,62432,42547,22167,11826,4582
244,2650,2474,2449,62532,42778,22235,11869,4664
244.5,2695,2354,2355,62320,42503,22248,11718,4644
245,2635,2394,2318,62022,42654,22149,11936,4604
245.5,2605,2359,2360,61978,42389,22135,11680,4661
246,2701,2466,2405,62291,42093,21880,11783,4575
246.5,2722,2436,2393,62070,42516,22290,11743,4564
247,2695,2432,2384,62305,42046,21978,11566,4597
247.5,2668,2456,2432,62174,42396,22277,11864,4623
248,2684,2423,2312,62104,42266,21986,11733,4585
248.5,2663,2374,2334,62031,42621,22098,11734,4748
249,2690,2438,2464,61974,41945,22172,11756,4584
249.5,2664,2379,2411,62013,42145,22072,11794,4560
250,2640,2353,2345,61641,41910,21924,11743,4646
250.5,2665,2382,2429,61989,42374,22265,11866,4682
251,2720,2408,2330,61696,42336,21976,11784,4652
251.5,2647,2507,2400,61553,42180,22095,11598,4588
252,2692,2472,2406,62020,42087,22054,11670,4645
252.5,2668,2364,2306,62062,41941,22105,11839,4622
253,2611,2495,2472,61402,41602,22080,11659,4545
